,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
110,0.0,Sat Feb 03 00:05:01 +0000 2018,6382266,0.0,1.0,0.0,CBS News,"Release of once-classified memo is ""unprecedented"" and could have far-reaching effects in foreign policy, former CI… https://t.co/Jo5HcFEYcG"
111,0.891,Fri Feb 02 23:52:56 +0000 2018,6382266,0.0,0.58,0.42,CBS News,"Organizers of this year's Super Bowl are hoping a million fans embrace the cold, what they call ""the Bold North,""… https://t.co/vSjfregBtH"
112,0.0,Fri Feb 02 23:50:26 +0000 2018,6382266,0.0,1.0,0.0,CBS News,".@BojorquezCBS: ""[Sherry Johnson] says a judge signed off on the marriage between her and the 20-year-old church de… https://t.co/6YIO6Or8Nn"
113,-0.8271,Fri Feb 02 23:48:00 +0000 2018,6382266,0.314,0.686,0.0,CBS News,"According to the CDC, this flu season continues to rival the worst in recent years -- with some shortages of antivi… https://t.co/eHDdNlWVGs"
114,-0.5106,Fri Feb 02 23:46:26 +0000 2018,6382266,0.148,0.852,0.0,CBS News,"Randall Margraves, a father of three daughters abused by Larry Nassar, speaks to CBS News after lunging at the disg… https://t.co/ZZpdoGc2Wy"
115,0.0,Fri Feb 02 23:40:07 +0000 2018,6382266,0.0,1.0,0.0,CBS News,"Rep. Adam Schiff (D-CA) on memo: ""This wasn't about oversight. This was about telling a political story that's help… https://t.co/JggqW7nPOX"
116,0.0,Fri Feb 02 23:37:00 +0000 2018,6382266,0.0,1.0,0.0,CBS News,RT @CBSEveningNews: What caused the market to plummet this week? @Jillonmoney explains #CBSEveningNews https://t.co/aMiOLpFIsn
117,0.4404,Fri Feb 02 23:31:57 +0000 2018,6382266,0.0,0.888,0.112,CBS News,"RT @CBSEveningNews: We’re on the air in the East. @JeffGlor is live from Studio 57 in NYC

Thanks for being with us #OriginalReporting #CBS…"
118,0.0,Fri Feb 02 23:22:00 +0000 2018,6382266,0.0,1.0,0.0,CBS News,RT @adrianasdiaz: Father who tried to tackle Larry Nassar in courtroom today speaks. We sit down with him one on one for tonight's @cbseven…
119,0.0,Fri Feb 02 23:16:00 +0000 2018,6382266,0.0,1.0,0.0,CBS News,"RT @BojorquezCBS: This is Sherry Johnson's wedding photo. 

She was 11.

On tonight's @CBSEveningNews with @jeffglor, we'll tell you how he…"
120,-0.34,Sat Feb 03 03:05:01 +0000 2018,6382266,0.112,0.888,0.0,CBS News,"After Los Angeles school shooting, detectives are trying to figure out where 12-year-old girl got gun, which was un… https://t.co/rki36hLpOG"
121,0.1027,Sat Feb 03 03:00:13 +0000 2018,6382266,0.15,0.631,0.218,CBS News,"Hawaii man who sent alert says he was ""100 percent sure"" attack was real https://t.co/mRIeUiFvxS https://t.co/QFPROJcZlC"
122,-0.2382,Sat Feb 03 02:45:01 +0000 2018,6382266,0.109,0.891,0.0,CBS News,"Trump administration will continue much of the Obama administration's nuclear weapons policy, but take a more aggre… https://t.co/dPv0zo7wQM"
